,models,stat,p value,hochberg_adjusted_p_value
0,corHMM_xgb_umap_supervised,-16.980014622522578,4.66766796957943e-49,6.067968360453259e-48
1,corHMM_logit_autoenc_supervised,-16.933024614341,7.428582528186822e-49,8.914299033824187e-48
2,corHMM_logit_umap,-16.82505682942565,2.1590117633457313e-48,2.3749129396803043e-47
3,corHMM_logit_autoencoded,-16.74529304209473,4.745207229639305e-48,4.745207229639305e-47
4,corHMM_logit_eigenvecs,-16.43693575879774,9.90246242603879e-47,8.91221618343491e-46
5,corHMM_logit_umap_supervised,-15.491668529919519,1.0228988694029409e-42,8.183190955223527e-42
6,corHMM_xgb_umap,-14.969985439977853,1.5888704703481252e-40,1.1122093292436876e-39
7,corHMM_xgb_autoenc_supervised,-13.14729712858337,4.727316386033782e-33,2.836389831620269e-32
8,corHMM_xgb_autoencoded,-11.980166242756471,1.8383051003498528e-28,9.191525501749264e-28
9,corHMM_phylnn_fill_means,-11.913166743324062,3.328225661206771e-28,1.3312902644827085e-27
10,corHMM_xgb_PEM,-10.042642104296819,2.6262524540171197e-21,7.87875736205136e-21
12,corHMM_logit_PEM,-9.592875526980986,9.537583372980287e-20,9.537583372980287e-20
11,corHMM_xgb_eigenvecs,-9.59819861570245,9.145846010094509e-20,1.8291692020189018e-19
