,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_PEM,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,1000.0,1000,1000,1000,1000,988.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
unique,,5,2,1,1,,,,,,,,,,,,,,,
top,,ER,mcar,ultrametric,binary,,,,,,,,,,,,,,,
freq,,200,500,1000,1000,,,,,,,,,,,,,,,
mean,198.5,,,,,0.4784711184296687,0.1259048213957746,0.14804615928070533,0.16460903965840065,0.1464988458806136,0.16907956476509078,0.17676345076507147,0.17187011165114882,0.17070518999789716,0.15128385010780188,0.15095069285905793,0.16140307977284601,0.197253184804161,0.1561049800134905,0.15018596398079467
std,115.52313878871018,,,,,1.8370568429537435,0.0965363288303942,0.10250489850513153,0.10374967255924901,0.10720527609446678,0.10784446877538603,0.12409190852779065,0.1057393939575615,0.10641289079603257,0.11876563207286318,0.1201034830589058,0.11617006680513504,0.15097413229477932,0.12108697584812321,0.11590794700688423
min,0.0,,,,,-4.65218350580921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,99.25,,,,,0.11097254665515,0.0317434653779249,0.07834259259259252,0.08844938184187945,0.06618976107883895,0.09015499912190064,0.08481892846827851,0.09126197265246624,0.09032044901300885,0.048412331507930624,0.0448478777651928,0.0705646244618895,0.07894799820302453,0.053842067794572825,0.05280286797492713
50%,198.5,,,,,0.4053435634528195,0.1167893207341427,0.15416666666666662,0.17357068538000736,0.1459241839412673,0.17885312049290458,0.18057780900661258,0.18449689726285606,0.18462530281721196,0.14711289288533247,0.147401160520154,0.16370445661253014,0.18801959140875135,0.14961860212676387,0.14613849929451272
75%,297.75,,,,,0.636630762515026,0.2002822727700386,0.21922839506172842,0.24242174584686457,0.22171531693770946,0.24413489009643416,0.2514380663707775,0.2487868882779746,0.24552552387556667,0.23454682868594962,0.23188279472802936,0.2423706829868784,0.29757867694942486,0.24294980865235044,0.23074551162871
max,397.0,,,,,35.4844691069326,0.4173171522200357,0.6223456790123457,0.5999924646771604,0.6259912220998257,0.6649985347123388,0.7261739178262274,0.7980373816621219,0.933671781748092,0.6673288378080401,0.7043336186151661,0.7872545988707584,0.7934080848207681,0.8843692413460056,0.7396554158669479
