,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_PEM,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,1000.0,1000,1000,1000,1000,996.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
unique,,5,2,1,1,,,,,,,,,,,,,,,
top,,ER,mcar,with_extinct,binary,,,,,,,,,,,,,,,
freq,,200,500,1000,1000,,,,,,,,,,,,,,,
mean,200.5,,,,,0.23111302341933543,0.11968365212701514,0.15784077704478772,0.15978796260555897,0.13933404190521897,0.15889283584307345,0.16203532374770474,0.1554697130359414,0.15693413075539606,0.14382618645747158,0.14202765942879353,0.14779519213435538,0.1857638729374093,0.14339700656751056,0.1430861189634083
std,115.52313878871018,,,,,0.596319142781869,0.08702000424426676,0.09761188901884094,0.0941772630586776,0.0951454016153758,0.10197269358287292,0.11278624180557849,0.09857183587146952,0.10056005734144581,0.1002731230379684,0.10366407055261112,0.0995853064498439,0.13401377190166577,0.10091840008768847,0.1003762689536228
min,2.0,,,,,-4.45628887117237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,101.25,,,,,-0.0225133998780595,0.041036916118960126,0.08117119582663684,0.0874536091653931,0.057553300147908576,0.07757442681591517,0.0714994293968501,0.07202981820597715,0.07660363028366116,0.06036513709052985,0.053534381790939126,0.05870233636976435,0.06759684115391532,0.056579380225894246,0.0599053508567833
50%,200.5,,,,,0.3295658184610965,0.11950610686179365,0.17336012685152954,0.17473501476072015,0.13987892362524557,0.17218761794759108,0.16654992842709354,0.17058034025596466,0.16759468253790333,0.14712738482602733,0.13943438904540734,0.16035872860110117,0.18516422590966242,0.15164634105167935,0.1464445494200747
75%,299.75,,,,,0.606014617265436,0.18898047817782376,0.22649446990438826,0.23640353085925964,0.21403713623165335,0.23745821932511493,0.23887076985965852,0.23437022135524818,0.2367555007534263,0.21957954535134794,0.21941770582258815,0.22805872535372543,0.2842374833854836,0.22040009326103666,0.21802932843711756
max,399.0,,,,,2.94936375494702,0.447214775142278,0.549820379643392,0.5471540575144738,0.4791248196450645,0.7703138554588769,0.8031822672295884,0.6129561839612354,0.4924828167800494,0.5442020163623378,0.7380847627891488,0.5694674005149,0.7566442458336535,0.6622989332028313,0.6016513351144149
