,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,3.4940026,-0.9262225,13.130149,3.996335,-3.4527268,5.088612,8.680919,-1.4833423,1.2240311,8.85998,0.3290495,1.7105712,3.1429257,-0.029352231,3.927215,-1.769775,-0.29861498,-0.0057032094
t2,3.1390786,-0.6190333,11.000734,3.5429442,-2.7364419,3.7087336,7.131749,-1.2915041,0.5360441,9.158505,0.2560455,1.9282424,1.5787257,-0.12071115,2.244775,-1.421108,1.162157,-0.0036287114
t3,3.887553,-1.1911137,12.530104,6.1026807,-4.0661163,6.6534657,9.570823,-1.7186927,4.440046,7.096399,0.56887007,2.5862167,5.811104,-0.07940255,3.8235772,-2.1700907,-0.4987864,-0.014432751
t4,3.0073936,-0.74513674,10.459433,4.8378434,-2.9622343,3.3957574,6.9501457,-0.9717469,2.5452073,6.7843847,0.34486315,3.0476751,2.6770344,-0.09367655,5.4000983,-1.5261358,-0.30590114,-0.011212267
t5,3.1607292,-0.7883509,11.286135,3.4404933,-3.0503724,4.107974,7.660462,-1.2636247,1.1664325,8.045237,0.25980148,1.6583062,2.3429492,-0.05996137,3.5764673,-1.4693569,-0.18501543,-0.0048918114
t6,1.7067434,-0.20805693,6.2251587,1.483424,-1.1873046,1.3848311,3.4985352,-0.39508528,-0.08537599,5.279092,0.3216274,1.7624792,0.04967865,-0.09473603,2.140019,-0.5423157,1.1178236,0.029798709
t7,2.9622486,-0.36052945,10.197546,3.5974867,-2.1854012,2.6721554,6.120395,-1.0559886,-0.114658974,9.952974,0.1387584,2.0439181,0.0009898394,-0.19429046,0.7557999,-1.0959057,4.1419797,-0.0027999752
t8,1.2260743,6.94036,2.6158552,1.1273559,8.827576,-0.12593584,0.3280694,0.9844764,2.7105374,5.702617,4.161989,0.13100871,0.56643057,-0.042342607,0.053493343,-0.47990438,8.499623,3.6240659
t9,3.053689,-0.39163715,10.416983,3.6510108,-2.2631981,2.765686,6.3263307,-1.1202091,-0.17173815,10.345737,0.15603857,2.189154,0.1270707,-0.19306464,0.84382075,-1.1222968,4.0291348,-0.0033120194
t10,2.8594046,-0.31406075,9.657289,3.4566407,-2.0237403,2.3832672,5.7336984,-1.0094122,-0.2128541,9.968025,0.12154525,2.168035,0.023166362,-0.19862892,0.56667686,-0.9929161,4.447112,-0.0030855415
t11,1.1352402,-0.30953878,3.5549047,1.8397825,-0.7396383,0.6018687,2.6987753,-0.116425216,3.6472003,-0.026810054,0.16338925,2.535145,2.1285331,-0.009852183,0.28110442,-0.47201443,-0.048676047,-0.009504778
t12,1.1153065,2.500331,2.6938045,0.19948354,1.3968557,-0.027204476,0.014296328,0.7419798,0.24956788,3.4824433,1.2344592,1.023713,0.22135971,-0.11509576,0.38744435,-0.17589691,3.5275996,0.34546885
t13,1.4389646,2.9138062,3.6221702,3.8884387,-0.49018902,-0.001272561,0.022339713,1.4713264,1.3007032,3.2229843,0.6518249,5.7289343,0.26446277,-0.26760033,7.7686543,-0.787483,-0.14328353,-0.012010453
t14,2.503017,-0.7185349,7.913137,4.1826167,-2.0869064,2.5183322,6.3151846,-0.6049165,5.485701,1.4862064,0.37735742,3.334043,4.4277606,-0.0048069893,0.8541664,-1.1689963,-0.16582489,-0.015373667
t15,0.4857133,-0.124880366,1.2317781,0.77562505,-0.38182208,-0.0013318564,1.086144,-0.017875502,2.0040267,0.06375877,0.040958475,1.2633284,0.70314115,-0.0034022573,0.0022620317,-0.22635153,0.14906514,-0.003070482
